id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18734236,★ Charming Bouldin home ★ Walk to SXSW and ACL!,255204,Lisa,,78704,30.247254782733194,-97.75679115337836,Entire home/apt,500,5,0,,,2,43
18737178,East Austin Gem near Lady Bird Lake Trail,48019979,Pam And Mitch,,78702,30.249408799861197,-97.72450360294015,Entire home/apt,150,2,81,2019-02-02,3.92,1,188
18749798,Downtown condo perfect location,42854768,Ava,,78701,30.260453609036734,-97.73947922278629,Entire home/apt,125,1,110,2019-02-03,5.45,2,73
18754419,Hovenweep 2,130480375,Peter,,78744,30.201197231738778,-97.69202200233941,Private room,60,1,16,2019-01-20,1.83,2,167
18759044,"Keep it Simple w/2Bed, 1Bath, PS4",15697763,Jim,,78723,30.314565754002874,-97.69710223805588,Entire home/apt,99,1,109,2019-01-27,5.27,2,234
18769724,Chic Austin Home-8 minutes to downtown!,34735783,Sarah,,78749,30.20776075212494,-97.86743165267656,Entire home/apt,350,3,8,2018-10-08,0.42,1,0
18772963,"Cozy room, bathroom, private entrance - Hyde Park!",98689628,Zoja,,78751,30.305179578592007,-97.71826462074401,Private room,48,2,34,2019-01-20,2.15,2,4
18787194,Guadalupe: Economic Spot in Great Community,8167447,Martin,,78751,30.320928708608644,-97.72497782488294,Shared room,16,29,5,2019-02-02,0.28,71,339
18787574,Guadalupe: Shared Room in Fun Community,8167447,Martin,,78751,30.321098808226637,-97.72465177838058,Shared room,23,29,3,2019-01-13,0.17,71,334
18793629,Blue Aggie - Tiny House at Community First Village,15621214,Barrett At Community First! Village,,78724,30.28146843001454,-97.62155779605176,Entire home/apt,85,1,184,2019-02-02,8.79,16,327
18793942,"Cozy 1BD, Walkable, Heart of Austin",130779091,Chris,,78705,30.294161882863314,-97.745865037049,Private room,29,1,9,2017-07-24,0.43,1,0
